stockid,stocklong,scientificname,areaid,region,Bram,Uram,Country,FAO English,code,n.fmi,fmi0,n.fmi.bsta,n.fmi.usta,fmi.bsta,fmi.usta,country?,fmi,research,management,enforcement,science,R_LAN,R_AGE,R_SUR,R_ASS,M_FMP,M_LFP,M_AFP,E_ENF,E_HAB,E_BYC,S_ACC,S_INV,S_SUB
APOLLPJPN,Walleye pollock Pacific Coast of Japan,Theragra chalcogramma,Japan-FAFRFJ-PJPN,Russia Japan,1.519370532,0.985268512,Japan,Alaska pollock(=Walleye poll.),Japan|Alaska pollock(=Walleye poll.),1,0.790972222,1,1,1,1,Japan|Alaska pollock(=Walleye poll.),0.790972222,1,0.888888889,0.4,0.875,1,1,1,1,1,0.666666667,1,0.5,0.333333333,0.333333333,1,1,0.5
OFLOUNECS,Japanese flounder East China Sea,Paralichthys olivaceus,Japan-FAFRFJ-ECS,Russia Japan,0.332799441,2.427158732,Japan,Bastard halibut,Japan|Bastard halibut,,,,,,,Japan|Bastard halibut,,,,,,,,,,,,,,,,,,
OFLOUNNSJ,Japanese flounder Sea of Japan North,Paralichthys olivaceus,Japan-FAFRFJ-NSJ,Russia Japan,0.234253247,2.063802822,Japan,Bastard halibut,Japan|Bastard halibut,,,,,,,Japan|Bastard halibut,,,,,,,,,,,,,,,,,,
OFLOUNPAC,Japanese flounder Pacific Ocean,Paralichthys olivaceus,Japan-FAFRFJ-PAC,Russia Japan,1.397466359,0.388294014,Japan,Bastard halibut,Japan|Bastard halibut,,,,,,,Japan|Bastard halibut,,,,,,,,,,,,,,,,,,
OFLOUNSETO,Japanese flounder Inland Sea of Japan,Paralichthys olivaceus,Japan-FAFRFJ-SETO,Russia Japan,0.485025818,1.410670867,Japan,Bastard halibut,Japan|Bastard halibut,,,,,,,Japan|Bastard halibut,,,,,,,,,,,,,,,,,,
BMACKECS,Spotted mackerel East China Sea,Scomber australasicus,Japan-FAFRFJ-ECS,Russia Japan,0.883190097,0.969364505,Japan,Blue mackerel,Japan|Blue mackerel,,,,,,,Japan|Blue mackerel,,,,,,,,,,,,,,,,,,
BMACKPJPN,Spotted mackerel Pacific Coast of Japan,Scomber australacius,Japan-FAFRFJ-PJPN,Russia Japan,3.366861393,0.345368277,Japan,Blue mackerel,Japan|Blue mackerel,,,,,,,Japan|Blue mackerel,,,,,,,,,,,,,,,,,,
KCROCKNPAC,Kichiji rockfish North Pacific,Sebastolobus macrochir,Japan-FAFRFJ-NPAC,Russia Japan,1.461816539,0.366158828,Japan,Broadbanded thornyhead,Japan|Broadbanded thornyhead,,,,,,,Japan|Broadbanded thornyhead,,,,,,,,,,,,,,,,,,
JAMBERJPN,Japanese amberjack Japan,Seriola quinqueradiata,Japan-FAFRFJ-JPN,Russia Japan,0.335040927,2.049078731,Japan,Japanese amberjack,Japan|Japanese amberjack,1,0.785962302,,,,,Japan|Japanese amberjack,0.785962302,0.928571429,0.777777778,0.75,0.6875,1,0.666666667,1,1,0.333333333,1,1,0.75,0.666666667,0.833333333,0.666666667,0.833333333,0.5
JANCHOPJPN,Japanese anchovy Pacific Coast of Japan,Engraulis japonicus,Japan-FAFRFJ-PJPN,Russia Japan,1.169901368,0.552988362,Japan,Japanese anchovy,Japan|Japanese anchovy,6,0.717654947,6,6,0.583333333,0.833333333,Japan|Japanese anchovy,0.717654947,0.94047619,0.694444444,0.516949153,0.71875,0.972222222,0.916666667,0.888888889,0.966666667,0.777777778,0.611111111,0.694444444,0.583333333,0.617647059,0.333333333,0.75,0.861111111,0.458333333
JANCHOSETO,Japanese anchovy Inland Sea of Japan,Engraulis japonicus,Japan-FAFRFJ-SETO,Russia Japan,1.368592647,0.749136858,Japan,Japanese anchovy,Japan|Japanese anchovy,6,0.717654947,6,6,0.583333333,0.833333333,Japan|Japanese anchovy,0.717654947,0.94047619,0.694444444,0.516949153,0.71875,0.972222222,0.916666667,0.888888889,0.966666667,0.777777778,0.611111111,0.694444444,0.583333333,0.617647059,0.333333333,0.75,0.861111111,0.458333333
JANCHOTSST,Japanese anchovy Tsushima Strait,Engraulis japonicus,Japan-FAFRFJ-TSST,Russia Japan,0.211027282,1.312563356,Japan,Japanese anchovy,Japan|Japanese anchovy,6,0.717654947,6,6,0.583333333,0.833333333,Japan|Japanese anchovy,0.717654947,0.94047619,0.694444444,0.516949153,0.71875,0.972222222,0.916666667,0.888888889,0.966666667,0.777777778,0.611111111,0.694444444,0.583333333,0.617647059,0.333333333,0.75,0.861111111,0.458333333
JCSQUIDJPNAR,Japanese flying squid Japan Autumn recruitment,Todarodes pacificus,Japan-FAFRFJ-JPNAR,Russia Japan,3.475500316,0.224693318,Japan,Japanese flying squid,Japan|Japanese flying squid,1,0.775347222,1,1,1,0,Japan|Japanese flying squid,0.775347222,1,0.888888889,0.4,0.8125,1,1,1,1,1,0.666666667,1,0.625,0,0.5,0.666666667,1,0.75
JCSQUIDJPNWR,Japanese flying squid Japan Winter recruitment,Todarodes pacificus,Japan-FAFRFJ-JPNWR,Russia Japan,1.696497958,0.537382497,Japan,Japanese flying squid,Japan|Japanese flying squid,1,0.775347222,1,1,1,0,Japan|Japanese flying squid,0.775347222,1,0.888888889,0.4,0.8125,1,1,1,1,1,0.666666667,1,0.625,0,0.5,0.666666667,1,0.75
JMACKPJPN,Japanese jack mackerel Pacific Coast of Japan,Trachurus japonicus,Japan-FAFRFJ-PJPN,Russia Japan,0.245946632,1.324599753,Japan,Japanese jack mackerel,Japan|Japanese jack mackerel,2,0.822916667,2,2,1,1,Japan|Japanese jack mackerel,0.822916667,1,0.916666667,0.625,0.75,1,1,1,1,1,0.75,1,0.625,0.666666667,0.583333333,0.833333333,1,0.25
JMACKTSST,Japanese jack mackerel Tsushima Strait,Trachurus japonicus,Japan-FAFRFJ-TSST,Russia Japan,0.689864454,0.823216897,Japan,Japanese jack mackerel,Japan|Japanese jack mackerel,2,0.822916667,2,2,1,1,Japan|Japanese jack mackerel,0.822916667,1,0.916666667,0.625,0.75,1,1,1,1,1,0.75,1,0.625,0.666666667,0.583333333,0.833333333,1,0.25
PILCHPJPN,Japanese sardine Pacific Coast of Japan,Sardinops melanostictus,Japan-FAFRFJ-PJPN,Russia Japan,1.337185288,0.742206241,Japan,Japanese pilchard,Japan|Japanese pilchard,1,0.555059524,1,1,0,0,Japan|Japanese pilchard,0.555059524,0.928571429,0.333333333,0.333333333,0.625,1,1,0.666666667,1,0.666666667,0.333333333,0,0.25,1,0,0.666666667,0.666666667,0.5
PILCHTSST,Japanese sardine Tsushima Strait,Sardinops melanostictus,Japan-FAFRFJ-TSST,Russia Japan,1.074844708,1.31678013,Japan,Japanese pilchard,Japan|Japanese pilchard,1,0.555059524,1,1,0,0,Japan|Japanese pilchard,0.555059524,0.928571429,0.333333333,0.333333333,0.625,1,1,0.666666667,1,0.666666667,0.333333333,0,0.25,1,0,0.666666667,0.666666667,0.5
SSANDWSJ,Sailfin sandfish Sea of Japan West,Arctoscopus japonicus,Japan-FAFRFJ-WSJ,Russia Japan,1.866202584,0.298928878,Japan,Japanese sandfish,Japan|Japanese sandfish,,,,,,,Japan|Japanese sandfish,,,,,,,,,,,,,,,,,,
RBRMECS,Red seabream East China Sea,Pagrus major,Japan-FAFRFJ-ECS,Russia Japan,0.098583693,3.243154384,Japan,Japanese seabream,Japan|Japanese seabream,,,,,,,Japan|Japanese seabream,,,,,,,,,,,,,,,,,,
RBRMSETOE,Red seabream Inland Sea of Japan (East),Pagrus major,Japan-FAFRFJ-SETOE,Russia Japan,0.101552737,3.078051541,Japan,Japanese seabream,Japan|Japanese seabream,,,,,,,Japan|Japanese seabream,,,,,,,,,,,,,,,,,,
RBRMSETOW,Red seabream Inland Sea of Japan (West),Pagrus major,Japan-FAFRFJ-SETOW,Russia Japan,0.273105899,1.47307103,Japan,Japanese seabream,Japan|Japanese seabream,,,,,,,Japan|Japanese seabream,,,,,,,,,,,,,,,,,,
SPANMACKSETO,Japanese Spanish mackerel Inland Sea of Japan,Scomberomorus niphonius,Japan-FAFRFJ-SETO,Russia Japan,0.150655414,1.278156744,Japan,Japanese Spanish mackerel,Japan|Japanese Spanish mackerel,2,0.495620562,2,2,0.75,0.75,Japan|Japanese Spanish mackerel,0.495620562,0.678571429,0.305555556,0.342105263,0.65625,1,0.583333333,0.416666667,0.7,0.416666667,0.333333333,0.166666667,0.3125,0.7,0.083333333,0.583333333,0.833333333,0.5
CMACKPJPN,Chub mackerel Pacific Coast of Japan,Scomber japonicus,Japan-FAFRFJ-PJPN,Russia Japan,0.507794381,0.945996313,Japan,Pacific chub mackerel,Japan|Pacific chub mackerel,6,0.760169351,,,,,Japan|Pacific chub mackerel,0.760169351,0.952380952,0.814814815,0.533898305,0.739583333,0.916666667,1,0.888888889,0.983333333,0.944444444,0.694444444,0.805555556,0.604166667,0.617647059,0.361111111,0.75,0.916666667,0.458333333
CMACKTSST,Chub mackerel Tsushima Strait,Scomber japonicus,Japan-FAFRFJ-TSST,Russia Japan,0.450880926,1.07644792,Japan,Pacific chub mackerel,Japan|Pacific chub mackerel,6,0.760169351,,,,,Japan|Pacific chub mackerel,0.760169351,0.952380952,0.814814815,0.533898305,0.739583333,0.916666667,1,0.888888889,0.983333333,0.944444444,0.694444444,0.805555556,0.604166667,0.617647059,0.361111111,0.75,0.916666667,0.458333333
PCODNPAC,Pacific cod North Pacific,Gadus macrocephalus,Japan-FAFRFJ-NPAC,Russia Japan,0.205747495,0.75146743,Japan,Pacific cod,Japan|Pacific cod,1,0.453869048,1,1,1,1,Japan|Pacific cod,0.453869048,0.857142857,0.111111111,0.222222222,0.625,1,1,0.666666667,0.8,0,0.333333333,0,0.25,0.5,0,0.666666667,0.666666667,0.5
SAURNWPAC,Pacific saury Northwest Pacific,Cololabis saira,Japan-FAFRFJ-NWPAC,Russia Japan,2.083194543,0.149617817,Japan,Pacific saury,Japan|Pacific saury,6,0.782919963,6,6,0.75,0.75,Japan|Pacific saury,0.782919963,0.981707317,0.842592593,0.56779661,0.739583333,1,1,0.972222222,0.966666667,1,0.722222222,0.805555556,0.583333333,0.617647059,0.5,0.75,0.916666667,0.458333333
SNOWCRABESJ,Snow crab Sea of Japan East,Chionoecetes opilio,Japan-FAFRFJ-ESJ,Russia Japan,2.752724225,0.217014777,Japan,Queen crab,Japan|Queen crab,,,,,,,Japan|Queen crab,,,,,,,,,,,,,,,,,,
SNOWCRABNPAC,Snow crab North Pacific,Chionoecetes opilio,Japan-FAFRFJ-NPAC,Russia Japan,0.385346167,0.042416955,Japan,Queen crab,Japan|Queen crab,,,,,,,Japan|Queen crab,,,,,,,,,,,,,,,,,,
SNOWCRABWSJ,Snow crab Sea of Japan West,Chionoecetes opilio,Japan-FAFRFJ-WSJ,Russia Japan,1.289533661,0.300998654,Japan,Queen crab,Japan|Queen crab,,,,,,,Japan|Queen crab,,,,,,,,,,,,,,,,,,
RHERRTSST,Round herring Tsushima Strait,Etrumeus teres,Japan-FAFRFJ-TSST,Russia Japan,0.897476623,1.183764517,Japan,Red-eye round herring,Japan|Red-eye round herring,2,0.688268849,2,2,0.75,1,Japan|Red-eye round herring,0.688268849,0.910714286,0.611111111,0.575,0.65625,0.916666667,0.75,1,0.95,0.583333333,0.583333333,0.666666667,0.6875,0.5,0.5,0.666666667,0.666666667,0.625
RSFLOUNSOJ,Round-nose flounder Sea of Japan,Eopsetta grigorjewi,Japan-FAFRFJ-SOJ,Russia Japan,0.516971279,1.057753874,Japan,Shotted halibut,Japan|Shotted halibut,,,,,,,Japan|Shotted halibut,,,,,,,,,,,,,,,,,,
