stockid,stocklong,scientificname,areaid,region,Bram,Uram,Country,FAO English,code,n.fmi,fmi0,n.fmi.bsta,n.fmi.usta,fmi.bsta,fmi.usta,country?,fmi,research,management,enforcement,science,R_LAN,R_AGE,R_SUR,R_ASS,M_FMP,M_LFP,M_AFP,E_ENF,E_HAB,E_BYC,S_ACC,S_INV,S_SUB
PATGRENADIERCH,Patagonian grenadier Chile,Macruronus magellanicus,Chile-SUBPESCA-CH-CS,South America,0.420600858,,Chile,Patagonian grenadier,Chile|Patagonian grenadier,5,0.769236111,5,5,0.3,0.7,Chile|Patagonian grenadier,0.769236111,0.85,0.644444444,0.67,0.9125,0.9,0.8,0.8,0.88,0.466666667,0.733333333,0.733333333,0.75,0.733333333,0.5,0.966666667,0.833333333,0.95
PTOOTHFISHCH,Patagonian Toothfish Chile,Dissostichus eleginoides,multinational-SUBPESCA-CFP-SCH-ARG,South America,0.34,2.12,Chile,Patagonian toothfish,Chile|Patagonian toothfish,,,,,,,Chile|Patagonian toothfish,,,,,,,,,,,,,,,,,,
PCEELCH,Pink Cusk-eel Chile,Genypterus blacodes,Chile-SUBPESCA-CH-CS,South America,1.032793485,,Chile,Pink cusk-eel,Chile|Pink cusk-eel,,,,,,,Chile|Pink cusk-eel,,,,,,,,,,,,,,,,,,
SPHAKECH,South Pacific Hake Chile,Merluccius gayi,Chile-SUBPESCA-CH-CS,South America,0.47,0.56,Chile,South Pacific hake,Chile|South Pacific hake,4,0.767530589,4,4,0.125,0.125,Chile|South Pacific hake,0.767530589,0.925925926,0.728571429,0.4625,0.953125,0.818181818,0.875,0.958333333,1,0.75,0.590909091,0.833333333,0.28125,0.666666667,0.5,0.958333333,0.958333333,0.9375
SBWHITCH,Southern blue whiting Chile,Micromesistius australis,Chile-SUBPESCA-CH-CS,South America,0.654,1.46,Chile,Southern blue whiting,Chile|Southern blue whiting,1,0.894097222,1,1,0.5,0.5,Chile|Southern blue whiting,0.894097222,1,0.888888889,0.75,0.9375,1,1,1,1,1,0.666666667,1,0.75,0.833333333,0.666666667,1,1,0.75
SOUTHHAKECH,Southern hake Chile,Merluccius australis,Chile-SUBPESCA-CH-CS,South America,0.539443155,1.086261981,Chile,Southern hake,Chile|Southern hake,1,0.934722222,1,1,0.5,1,Chile|Southern hake,0.934722222,1,0.888888889,0.85,1,1,1,1,1,1,1,0.666666667,0.75,1,0.833333333,1,1,1
YNOSESKACSCH,Yellownose skate Central-Southern Chile,Zearaja chilensis,Chile-SUBPESCA-CH-CS,South America,0.567674289,0.053064516,Chile,Yellownose skate,Chile|Yellownose skate,,,,,,,Chile|Yellownose skate,,,,,,,,,,,,,,,,,,
YNOSESKASCH,Yellownose skate Southern Chile,Zearaja chilensis,Chile-SUBPESCA-CH-S,South America,0.102486731,0.112096774,Chile,Yellownose skate,Chile|Yellownose skate,,,,,,,Chile|Yellownose skate,,,,,,,,,,,,,,,,,,
CODVIIek,Atlantic Cod Celtic Sea,Gadus morhua,multinational-ICES-VIIe-k,European Union,0.780097087,1.505714286,France,Atlantic cod,France|Atlantic cod,1,0.713293651,1,1,0,0,France|Atlantic cod,0.713293651,0.964285714,0.888888889,0.5,0.5,1,1,1,0.9,0.666666667,1,1,1,0,0.333333333,0.666666667,0.333333333,0.5
BLINGVb-VI-VII,Blue ling Vb-VI-VII,Molva dypterygia,multinational-ICES-Vb-VI-VII,Europe non EU,1.275706667,0.2825,France,Blue ling,France|Blue ling,,,,,,,France|Blue ling,,,,,,,,,,,,,,,,,,
SOLEVIId,Common sole ICES VIId,Solea solea,multinational-ICES-VIId,European Union,0.885375,1.733333333,France,Common sole,France|Common sole,4,0.7296875,4,4,0.5,0.375,France|Common sole,0.7296875,0.973214286,0.771428571,0.642857143,0.53125,1,1,0.916666667,0.975,0.625,0.818181818,0.875,0.791666667,0.636363636,0.5,0.75,0.583333333,0.125
SOLEVIIIab,Common sole VIIIab,Solea solea,multinational-ICES-VIIIab,European Union,1.004150943,1.336060606,France,Common sole,France|Common sole,4,0.7296875,4,4,0.5,0.375,France|Common sole,0.7296875,0.973214286,0.771428571,0.642857143,0.53125,1,1,0.916666667,0.975,0.625,0.818181818,0.875,0.791666667,0.636363636,0.5,0.75,0.583333333,0.125
HAKENRTN,Hake Northeast Atlantic North,Merluccius merluccius,multinational-ICES-IIIa-IV-VI-VII-VIIIabd,European Union,7.326333333,0.785714286,France,European hake,France|European hake,5,0.762877839,5,5,0.6,0,France|European hake,0.762877839,0.928571429,0.795454545,0.722222222,0.605263158,1,0.833333333,0.9,0.96,0.8,0.714285714,0.866666667,0.866666667,0.833333333,0.466666667,0.769230769,0.666666667,0.3
PLAIC7d,European Plaice ICES VIId,Pleuronectes platessa,multinational-ICES-VIId,European Union,2.460117711,0.48888,France,European plaice,France|European plaice,,,,,,,France|European plaice,,,,,,,,,,,,,,,,,,
EBASSIVbc-VII,European seabass IVbc and VII,Dicentrarchus labrax,multinational-ICES-IVbc-VII,European Union,0.577590152,2.918848354,France,European seabass,France|European seabass,1,0.375099206,0,1,0,0,France|European seabass,0.375099206,0.464285714,0.111111111,0.3,0.625,0.833333333,0.5,0.5,0.2,0.333333333,0,0,0,0.333333333,0.666666667,0.666666667,0.666666667,0.5
HADVIIb-k,Haddock ICES VIIb-k,Melanogrammus aeglefinus,multinational-ICES-VIIb-k,European Union,2.608211,1.296829,France,Haddock,France|Haddock,1,0.778125,1,1,1,0,France|Haddock,0.778125,1,1,0.55,0.5625,1,1,1,1,1,1,1,1,0,0.5,1,0.5,0
MEGVII-VIIIabd,Megrim VII-VIIIabd,Lepidorhombus whiffiagonis,multinational-ICES-VII-VIIIabd,European Union,1.928803828,1.128756874,France,Megrim,France|Megrim,1,0.692857143,1,1,1,0.5,France|Megrim,0.692857143,1,0.8,0.4,0.571428571,1,1,1,1,0.5,0,1,0,0.5,0.333333333,0.5,1,0
NEPHFU22,Norway lobster Smalls (FU 22),Nephrops norvegicus,multinational-ICES-FU22,European Union,,0.719988989,France,Norway lobster,France|Norway lobster,,,,,,,France|Norway lobster,,,,,,,,,,,,,,,,,,
RNGENVb-VI-VII-XIIb,Roundnose grenadier Vb-VI-VII-XIIb,Coryphaenoides rupestris,multinational-ICES-Vb-VI-VII-XIIb,European Union,0.5810085,0.25260252,France,Roundnose grenadier,France|Roundnose grenadier,,,,,,,France|Roundnose grenadier,,,,,,,,,,,,,,,,,,
WHITVIIek,Whiting ICES VIIe-k,Merlangius merlangus,multinational-ICES-VIIe-k,European Union,1.825953143,0.733908994,France,Whiting,France|Whiting,,,,,,,France|Whiting,,,,,,,,,,,,,,,,,,
CODICE,Atlantic cod Iceland,Gadus morhua,multinational-ICES-Va,Europe non EU,2.109181818,1.5,Iceland,Atlantic cod,Iceland|Atlantic cod,5,0.953819444,5,5,0.7,1,Iceland|Atlantic cod,0.953819444,1,0.977777778,0.95,0.8875,1,1,1,1,1,0.933333333,1,0.95,0.9,1,1,0.766666667,0.9
