stockid,TBP,TBPInStock,StockInTBP,AreaName,commonname,scientificname
PLAICNS,210,99.95,97.69,"North Sea (ICES 6a,b,c)",European Plaice,Pleuronectes platessa
POPERCHGA,4,30.24,74.55,Gulf of Alaska,Pacific ocean perch,Sebastes alutus
POPERCHPCOAST,85,29.9,41.31,North California Current,Pacific ocean perch,Sebastes alutus
PRCODMEDGSA9,217,26.61,69.05,Tyrrhenian Sea (GFCM 1.3),Poor cod,Trisopterus minutus
PSOLEPCOAST,85,29.9,41.31,North California Current,Petrale sole,Eopsetta jordani
REXSOLEGA,4,39.85,86.05,Gulf of Alaska,Rex sole,Glyptocephalus zachirus
REYEROCKBSAI,59,85.64,40.59,Aleutian Islands,Rougheye rockfish,Sebastes aleutianus
REYEROCKBSAI,60,10.29,35.11,East Bering Sea,Rougheye rockfish,Sebastes aleutianus
REYEROCKGA,4,35.26,75.83,Gulf of Alaska,Rougheye rockfish,Sebastes aleutianus
RMULLMEDGSA10,217,26.09,27.81,Tyrrhenian Sea (GFCM 1.3),Red mullet,Mullus barbatus
RMULLMEDGSA17-18,211,100,28.31,Adriatic Sea (GFCM 2.1),Red mullet,Mullus barbatus
RMULLMEDGSA9,217,26.61,69.05,Tyrrhenian Sea (GFCM 1.3),Red mullet,Mullus barbatus
RSHRMPMEDGSA10,217,26.09,27.81,Tyrrhenian Sea (GFCM 1.3),Deep-water rose shrimp,Parapenaeus longirostris
RSHRMPMEDGSA11,217,17.42,19.9,Tyrrhenian Sea (GFCM 1.3),Deep-water rose shrimp,Parapenaeus longirostris
RSHRMPMEDGSA12-16,217,23.8,17.43,Tyrrhenian Sea (GFCM 1.3),Deep-water rose shrimp,Parapenaeus longirostris
RSHRMPMEDGSA9,217,26.61,69.05,Tyrrhenian Sea (GFCM 1.3),Deep-water rose shrimp,Parapenaeus longirostris
SABLEFPCOAST,85,29.9,41.31,North California Current,Sablefish,Anoplopoma fimbria
SMSHRMPMEDGSA10,217,26.09,27.81,Tyrrhenian Sea (GFCM 1.3),Spottail mantis shrimp,Squilla mantis
SMSHRMPMEDGSA9,217,26.61,69.05,Tyrrhenian Sea (GFCM 1.3),Spottail mantis shrimp,Squilla mantis
SMULLMEDGSA9,217,26.61,69.05,Tyrrhenian Sea (GFCM 1.3),Surmullet,Mullus surmuletus
SNAPSAUSNSG,88,1.92,98.47,Southwest Australian Shelf,Snapper,Chrysophrys auratus
SNAPSAUSSGSV,88,2.75,100,Southwest Australian Shelf,Snapper,Chrysophrys auratus
SNROCKPCOAST,85,57.11,37.93,North California Current,Splitnose Rockfish,Sebastes diploproa
SOLEIS,226,99.85,99.42,Irish Sea (ICES 7a),Common sole,Solea solea
SOLENS,210,99.95,97.69,"North Sea (ICES 6a,b,c)",Common sole,Solea solea
SOLMEDGSA17,211,92.04,42.2,Adriatic Sea (GFCM 2.1),Common sole,Solea solea
SSTHORNHPCOAST,85,57.11,37.93,North California Current,Shortspine thornyhead,Sebastolobus alascanus
WPOLLAI,59,99.49,31.43,Aleutian Islands,Walleye pollock,Theragra chalcogramma
WPOLLAI,60,4.46,10.14,East Bering Sea,Walleye pollock,Theragra chalcogramma
WPOLLEBS,60,84.73,78.06,East Bering Sea,Walleye pollock,Theragra chalcogramma
WPOLLGA,4,47.81,68.74,Gulf of Alaska,Walleye pollock,Theragra chalcogramma
WPOLLGA,60,0.01,0.02,East Bering Sea,Walleye pollock,Theragra chalcogramma
WROCKPCOAST,85,57.11,37.93,North California Current,Widow rockfish,Sebastes entomelas
YEYEROCKPCOAST,85,57.11,37.93,North California Current,Yelloweye rockfish,Sebastes ruberrimus
YSOLEBSAI,60,55.52,94.71,East Bering Sea,Yellowfin sole,Limanda aspera
YTROCKNPCOAST,4,2.98,4.03,Gulf of Alaska,Yellowtail rockfish,Sebastes flavidus
YTROCKNPCOAST,85,40.47,16.08,North California Current,Yellowtail rockfish,Sebastes flavidus
