Region,Stock,Latin.binomial,fstatus,SAR,FP,SemiId,stockid
East Bering Sea,Flathead sole,Hippoglossoides elassodon,0.1,0.09,7.9,Flathead sole Hippoglossoides elassodon East Bering Sea,FLSOLEBSAI
Gulf of Alaska,Flathead sole,Hippoglossoides elassodon,0.1,0.02,1.7,Flathead sole Hippoglossoides elassodon Gulf of Alaska,FLSOLEGA
Tyrrhenian Sea (GFCM 1.3),Giant red shrimp,Aristaeomorpha foliacea,2.1,2.29,49.9,Giant red shrimp Aristaeomorpha foliacea Tyrrhenian Sea (GFCM 1.3),GRSHRIMPMEDGSA10
Tyrrhenian Sea (GFCM 1.3),Giant red shrimp,Aristaeomorpha foliacea,1.3,2.29,49.9,Giant red shrimp Aristaeomorpha foliacea Tyrrhenian Sea (GFCM 1.3),GRSHRIMPMEDGSA11
Tyrrhenian Sea (GFCM 1.3),Giant red shrimp,Aristaeomorpha foliacea,0.3,2.29,49.9,Giant red shrimp Aristaeomorpha foliacea Tyrrhenian Sea (GFCM 1.3),GRSHRIMPMEDGSA9
North California Current,Greenspotted rockfish,Sebastes chlorostictus,0.1,0.08,6.9,Greenspotted rockfish Sebastes chlorostictus North California Current,GRSPROCKNCAL
North California Current,Greenspotted rockfish,Sebastes chlorostictus,0,0.08,6.9,Greenspotted rockfish Sebastes chlorostictus North California Current,GRSPROCKSCAL
North California Current,Greenstriped rockfish,Sebastes elongatus,0,0.08,6.9,Greenstriped rockfish Sebastes elongatus North California Current,GRNSTROCKPCOAST
"North Sea (ICES 4a, b, c)",Haddock,Melanogrammus aeglefinus,0.7,1.19,51.7,"Haddock Melanogrammus aeglefinus North Sea (ICES 4a, b, c)",HADNS-IIIa
Adriatic Sea (GFCM 2.1),Hake,Merluccius merluccius,8.5,7.93,80.7,Hake Merluccius merluccius Adriatic Sea (GFCM 2.1),HAKEMEDGSA17-18
Tyrrhenian Sea (GFCM 1.3),Hake,Merluccius merluccius,5.3,2.29,49.9,Hake Merluccius merluccius Tyrrhenian Sea (GFCM 1.3),HAKEMEDGSA9-11
"North Sea (ICES 4a, b, c)",Hake,Merluccius merluccius,1.2,1.19,51.7,"Hake Merluccius merluccius North Sea (ICES 4a, b, c)",HAKENRTN
East Bering Sea,Kamchatka flounder,Atheresthes evermanni,1.2,0.09,7.9,Kamchatka flounder Atheresthes evermanni East Bering Sea,KMFLOUNBSAI
North California Current,Lingcod,Ophiodon elongatus,0.3,0.08,6.9,Lingcod Ophiodon elongatus North California Current,LINGCODNPCOAST
North California Current,Lingcod,Ophiodon elongatus,0.1,0.08,6.9,Lingcod Ophiodon elongatus North California Current,LINGCODSPCOAST
North California Current,Longspine thornyhead,Sebastolobus altivelis,0.3,0.08,6.9,Longspine thornyhead Sebastolobus altivelis North California Current,LSTHORNHPCOAST
East Bering Sea,Northern rock sole,Lepidopsetta polyxystra,0.2,0.09,7.9,Northern rock sole Lepidopsetta polyxystra East Bering Sea,NRSOLEEBSAI
Gulf of Alaska,Northern rock sole,Lepidopsetta polyxystra,0.4,0.02,1.7,Northern rock sole Lepidopsetta polyxystra Gulf of Alaska,NRSOLEGA
East Bering Sea,Northern rockfish,Sebastes polyspinis,0.2,0.09,7.9,Northern rockfish Sebastes polyspinis East Bering Sea,NROCKBSAI
Gulf of Alaska,Northern rockfish,Sebastes polyspinis,0.6,0.02,1.7,Northern rockfish Sebastes polyspinis Gulf of Alaska,NROCKGA
Tyrrhenian Sea (GFCM 1.3),Norway lobster,Nephrops norvegicus,1.8,2.29,49.9,Norway lobster Nephrops norvegicus Tyrrhenian Sea (GFCM 1.3),NEPHMEDGSA9
Irish Sea (ICES 7a),Norway lobster,Nephrops norvegicus,1.1,1.46,28.5,Norway lobster Nephrops norvegicus Irish Sea (ICES 7a),NEPHFU14
Irish Sea (ICES 7a),Norway lobster,Nephrops norvegicus,0.6,1.46,28.5,Norway lobster Nephrops norvegicus Irish Sea (ICES 7a),NEPHFU15
"North Sea (ICES 4a, b, c)",Norway lobster,Nephrops norvegicus,1.5,1.19,51.7,"Norway lobster Nephrops norvegicus North Sea (ICES 4a, b, c)",NEPHFU10
"North Sea (ICES 4a, b, c)",Norway lobster,Nephrops norvegicus,1.4,1.19,51.7,"Norway lobster Nephrops norvegicus North Sea (ICES 4a, b, c)",NEPHFU9
"North Sea (ICES 4a, b, c)",Norway lobster,Nephrops norvegicus,1.2,1.19,51.7,"Norway lobster Nephrops norvegicus North Sea (ICES 4a, b, c)",NEPHFU8
"North Sea (ICES 4a, b, c)",Norway lobster,Nephrops norvegicus,1.1,1.19,51.7,"Norway lobster Nephrops norvegicus North Sea (ICES 4a, b, c)",NEPHFU7
"North Sea (ICES 4a, b, c)",Norway pout,Trisopterus esmarkii,0.3,1.19,51.7,"Norway pout Trisopterus esmarkii North Sea (ICES 4a, b, c)",NPOUTIIIa-IV
East Bering Sea,Pacific cod,Gadus macrocephalus,1,0.09,7.9,Pacific cod Gadus macrocephalus East Bering Sea,PCODBS
Aleutian Islands,Pacific cod,Gadus macrocephalus,1.3,0.03,2.1,Pacific cod Gadus macrocephalus Aleutian Islands,PCODAI
Gulf of Alaska,Pacific cod,Gadus macrocephalus,0.6,0.02,1.7,Pacific cod Gadus macrocephalus Gulf of Alaska,PCODGA
North California Current,Pacific hake,Merluccius productus,0.7,0.08,6.9,Pacific hake Merluccius productus North California Current,PHAKEPCOAST
North California Current,Pacific ocean perch,Sebastes alutus,0.3,0.08,6.9,Pacific ocean perch Sebastes alutus North California Current,POPERCHPCOAST
East Bering Sea,Pacific Ocean perch,Sebastes alutus,0.6,0.09,7.9,Pacific Ocean perch Sebastes alutus East Bering Sea,PERCHEBSAI
Gulf of Alaska,Pacific ocean perch,Sebastes alutus,0.4,0.02,1.7,Pacific ocean perch Sebastes alutus Gulf of Alaska,POPERCHGA
Argentina,Patagonian grenadier,Macruronus magellanicus,1.4,0.28,17.6,Patagonian grenadier Macruronus magellanicus Argentina,PATGRENADIERSARG
